0,Budget,0.15308209408157136
1,Experiment,0.20328060014353855
2,Init Samples,0.0015927244160074505
3,schedule_constant,0.0021894917948524716
4,temp,0.00020490154042090384
0,Budget,0.2191818087384333
1,Experiment,0.1662775498071299
2,Init Samples,0.0035100974284633098
3,schedule_constant,0.002628921584374838
4,temp,0.0002934846120019358
0,Budget,0.08259390846685799
1,Experiment,0.2940847626976153
2,Init Samples,0.0038073978109029356
3,schedule_constant,0.0008684115214724016
4,temp,0.0001742410212387517
0,Budget,0.128518519920311
1,Experiment,0.29503828987463027
2,Init Samples,0.0008365398743970468
3,schedule_constant,0.0017671852686587538
4,temp,0.00027381151802443774
0,Budget,0.09979151060456873
1,Experiment,0.26021256314294855
2,Init Samples,0.011444353035138096
3,schedule_constant,0.003310248563145489
4,temp,0.0003558199308735868
0,Budget,0.23637079212750034
1,Experiment,0.1632238518084685
2,Init Samples,0.004718297665401352
3,schedule_constant,0.011773279250702193
4,temp,0.003553205280570128
0,Budget,0.226263187375218
1,Experiment,0.10520592717225175
2,Init Samples,0.007724614629405319
3,schedule_constant,0.004189726155695432
4,temp,0.002225455154235315
0,Budget,0.16220873161126645
1,Experiment,0.24448611792945568
2,Init Samples,0.015817290435430995
3,schedule_constant,0.0012057893191319072
4,temp,0.000489010591279406
0,Budget,0.17607439678095596
1,Experiment,0.18746738195757384
2,Init Samples,0.0016499536765243062
3,schedule_constant,0.0006316213480248003
4,temp,0.0003694802992051404
0,Budget,0.22538196232609603
1,Experiment,0.1556089417631024
2,Init Samples,0.004053907010718074
3,schedule_constant,0.008941343635160068
4,temp,0.0021248400033954586
0,Budget,0.26008207503962666
1,Experiment,0.14327060130506622
2,Init Samples,0.0018572527613151977
3,schedule_constant,0.00271845268201048
4,temp,0.0013358457139846522
0,Budget,0.25191662398548015
1,Experiment,0.18473408996007193
2,Init Samples,0.00665373630041849
3,schedule_constant,0.0013618902757044629
4,temp,0.0005467753977202176
0,Budget,0.22833892185033483
1,Experiment,0.15249773874402228
2,Init Samples,0.008063537437187084
3,schedule_constant,0.0013300849700280928
4,temp,0.0009749408038059323
0,Budget,0.25883521161668227
1,Experiment,0.1682593813533384
2,Init Samples,0.0036061864532498655
3,schedule_constant,0.0005893658711245071
4,temp,0.0008740641849145855
0,Budget,0.23935585433408577
1,Experiment,0.12909994243173026
2,Init Samples,0.0191095056931585
3,schedule_constant,0.004294505102529959
4,temp,0.0021640061815561213
0,Budget,0.2935161797393604
1,Experiment,0.13583256594567306
2,Init Samples,0.007172444287576209
3,schedule_constant,0.002952014730538959
4,temp,0.0013271548895241025
0,Budget,0.23353993114539962
1,Experiment,0.1582092150594147
2,Init Samples,0.002616143450775775
3,schedule_constant,0.0012805791349415107
4,temp,0.0003617525436867261
0,Budget,0.29147108787027
1,Experiment,0.1468492022844069
2,Init Samples,0.001446521555082356
3,schedule_constant,0.004355844103997475
4,temp,0.0017320658736039445
0,Budget,0.30433831720777854
1,Experiment,0.14584345849971397
2,Init Samples,0.002260142109458391
3,schedule_constant,0.002301361323090328
4,temp,0.0012448993845290551
0,Budget,0.30769525743666293
1,Experiment,0.13678303589028812
2,Init Samples,0.003379260751754357
3,schedule_constant,0.0014169739187510678
4,temp,0.0012176267158194062
0,Budget,0.2836787410009083
1,Experiment,0.13731487921444965
2,Init Samples,0.004583922298256934
3,schedule_constant,0.0063020114051965635
4,temp,0.0018976095976813941
0,Budget,0.3165177198909176
1,Experiment,0.13510263799997563
2,Init Samples,0.0035339232284830237
3,schedule_constant,0.002974290382857806
4,temp,0.0015667214967184926
0,Budget,0.15319731560079425
1,Experiment,0.10946425300266094
2,Init Samples,0.0035048485428762774
3,schedule_constant,0.00029320221925909694
4,temp,0.0003120818572177489
0,Budget,0.22381537171574514
1,Experiment,0.19942674171412972
2,Init Samples,0.012202390710124841
3,schedule_constant,0.00029517087888843553
4,temp,0.0003738379080582506
0,Budget,0.31351955511087887
1,Experiment,0.1293287348019322
2,Init Samples,0.007060273964773497
3,schedule_constant,0.004470241437409571
4,temp,0.0018084482246234974
0,Budget,0.22526035934121316
1,Experiment,0.15747790141998522
2,Init Samples,0.009115270269825719
3,schedule_constant,0.0008678695798140991
4,temp,0.0004304879154441787
0,Budget,0.16158029058443243
1,Experiment,0.12209018724698528
2,Init Samples,0.00956641382961624
3,schedule_constant,0.0006413238646821321
4,temp,0.0007096299695790727
0,Budget,0.16253292080271237
1,Experiment,0.2564914530231933
2,Init Samples,0.0054882734280175495
3,schedule_constant,0.0007357225963428816
4,temp,0.00016181228014970625
0,Budget,0.12692655899821823
1,Experiment,0.2440315805701338
2,Init Samples,0.012770350099901892
3,schedule_constant,0.003987001917927285
4,temp,0.0002433344059605813
0,Budget,0.12264372334614651
1,Experiment,0.21967600910350432
2,Init Samples,0.005983662073828347
3,schedule_constant,0.0025496578308274887
4,temp,0.0002832637038698558
0,Budget,0.09793462231598137
1,Experiment,0.3540723993048169
2,Init Samples,0.00190751144382066
3,schedule_constant,0.000927710153936847
4,temp,0.0002481365381453009
0,Budget,0.116158502294329
1,Experiment,0.2975423553015205
2,Init Samples,0.0022941038408828994
3,schedule_constant,0.002827236170982963
4,temp,0.00030918554756954625
0,Budget,0.15382992933980782
1,Experiment,0.17403613283486352
2,Init Samples,0.0021995806042614317
3,schedule_constant,0.0020438245067941003
4,temp,0.00022176857530834088
0,Budget,0.2005649885068087
1,Experiment,0.12603066351410463
2,Init Samples,0.00506922708436406
3,schedule_constant,0.002901470809785506
4,temp,0.00019016832928103137
0,Budget,0.13753015051090603
